index,output
0,0.8088544
1,0.880317
2,0.9102627
3,0.9807911
4,0.94920415
5,0.87297165
6,0.9127105
7,0.8895154
8,0.9182478
9,0.82584995
10,0.98922753
11,0.98866665
12,0.9915804
13,0.88262683
14,0.89335537
15,0.80182236
16,0.8670203
17,0.99038154
18,0.92251
19,0.9687353
20,0.9277096
21,0.95353764
22,0.9657539
23,0.9585831
24,0.80576026
25,0.8699879
26,0.8721525
27,0.8929999
28,0.8445882
29,0.95948076
30,0.95950735
31,0.9775145
32,0.9247235
33,0.979714
34,0.8364273
35,0.9463836
36,0.9597219
37,0.8235168
38,0.9987675
39,0.84709406
40,0.992789
41,0.97421706
42,0.9478626
43,0.9557703
44,0.92490244
45,0.81500524
46,0.9816871
47,0.8887497
48,0.88331884
49,0.95314825
50,0.80124366
51,0.9579862
52,0.9430129
53,0.9387333
54,0.8430794
55,0.884317
56,0.9137877
